Position,"Track Name",Artist,Streams,URL
55,Sobrio,Maluma,1473920,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
56,"Sweater Weather","The Neighbourhood",1473311,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
57,"Ley Seca","Jhay Cortez",1468261,https://open.spotify.com/track/3JCaq3KDSROg3TXhdiDa9n
58,"Get Into It (Yuh)","Doja Cat",1467694,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
59,Butter,BTS,1454501,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
60,LALISA,LISA,1449382,https://open.spotify.com/track/7uQZVznj0uQOGC9KhV2Mg6
61,"Don't Go Yet","Camila Cabello",1418030,https://open.spotify.com/track/1058fW9H3fZA6QjYCdOBad
62,"Volando - Remix",Mora,1388274,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
63,"Watermelon Sugar","Harry Styles",1385445,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
64,Bored,"Billie Eilish",1379607,https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ
65,"AM Remix","Nio Garcia",1346586,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
66,Santé,Stromae,1339993,https://open.spotify.com/track/3vXnuFnC5RhPGwsFi0ORcI
67,"Make You Feel My Love",Adele,1337545,https://open.spotify.com/track/273QnyCvJB65rScHJ1nPZb
68,"Send My Love (To Your New Lover)",Adele,1334787,https://open.spotify.com/track/563SfWAHJs4FBZMkRN0IFN
69,DÁKITI,"Bad Bunny",1317398,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
70,"Undeniable (feat. X Ambassadors)",Kygo,1300815,https://open.spotify.com/track/71qB68guEJjbvtjlkZ8DF5
71,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,1300374,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
72,"Chasing Pavements",Adele,1296775,https://open.spotify.com/track/0Z5ok0QLLttAKsujOZYOXf
73,"deja vu","Olivia Rodrigo",1295509,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
74,"Girls Want Girls (with Lil Baby)",Drake,1286129,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3
75,"Leave The Door Open","Bruno Mars",1277778,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
76,"The Feels",TWICE,1248392,https://open.spotify.com/track/6pgqZ7Iw4LfHlfgWWaRFSY
77,Hurricane,"Kanye West",1239017,https://open.spotify.com/track/6Hfu9sc7jvv6coyy2LlzBF
78,"Mood (feat. iann dior)",24kGoldn,1226354,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
79,París,Ingratax,1215457,https://open.spotify.com/track/4bF2y8rR7GUjrd5LNEvej3
80,"Coração Cachorro","Avine Vinny",1208705,https://open.spotify.com/track/2RGIuYTsyyHoOCqW0krvNE
81,"All I Ask",Adele,1207172,https://open.spotify.com/track/6DEMMeWXfmFAXgDUMMzeg6
82,"Happier Than Ever - Edit","Billie Eilish",1201720,https://open.spotify.com/track/32BeYxKPrig1LefHsC0Xuo
83,"Don't Start Now","Dua Lipa",1198602,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
84,"Someone You Loved","Lewis Capaldi",1193049,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
85,"edamame (feat. Rich Brian)",bbno$,1185675,https://open.spotify.com/track/5rW7qTn83sCKtqBoneJs63
86,Dynamite,BTS,1170991,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
87,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,1170324,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
88,MAMMAMIA,Måneskin,1170116,https://open.spotify.com/track/78SCmQ8A7KQSMdkem2SwBP
89,Hello,Adele,1169145,https://open.spotify.com/track/1Yk0cQdMLx5RzzFTYwmuld
90,"Dark Red","Steve Lacy",1161186,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
91,Ateo,"C. Tangana",1159857,https://open.spotify.com/track/5xiAfKzE3mbxYbOkUZPR11
92,"Love Tonight - Edit",Shouse,1148835,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
93,"family ties (with Kendrick Lamar)","Baby Keem",1135380,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
94,happier,"Olivia Rodrigo",1133438,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
95,"Faking Love (feat. Saweetie)",Anitta,1127558,https://open.spotify.com/track/3V7jLMYvvg4BHi4tmDveNc
96,"The Business",Tiësto,1125832,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
97,"Livin It Up (with Post Malone & A$AP Rocky)","Young Thug",1120092,https://open.spotify.com/track/7zjEyeBsaw9gV0jofJLfOM
98,"Está Dañada","Ivan Cornejo",1120047,https://open.spotify.com/track/6G2xXQRSZlEzYsUEb3uvuR
99,"Arranhão - Ao Vivo","Henrique & Juliano",1118153,https://open.spotify.com/track/4u06FbRh6FvV2FQZkouzCw
100,"Like I Can","Sam Smith",1113301,https://open.spotify.com/track/0mJBiaODgK0XjOLCN5fItq
101,"Stressed (with J. Cole & T-Shyne)","Young Thug",1112466,https://open.spotify.com/track/0uqsdBw9KvD8jSWmfMmMAp
102,"Last One Standing (feat. Polo G, Mozzy & Eminem) - From Venom: Let There Be Carnage","Skylar Grey",1106154,https://open.spotify.com/track/5W8HXMOMLtXLz0RGKUtnlZ
103,"Permission to Dance",BTS,1095595,https://open.spotify.com/track/5eXBXreN3d1zdj6Sa8dS0u
104,"Higher Power",Coldplay,1082441,https://open.spotify.com/track/65OR4ywy8Cgs3FDHK82Idl
105,Miénteme,TINI,1076693,https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc
106,"Rich Nigga Shit (with Juice WRLD)","Young Thug",1076482,https://open.spotify.com/track/1XRzIGsdYaLi0jHeGlcHGP
107,"lovely (with Khalid)","Billie Eilish",1071225,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
108,"Astronaut In The Ocean","Masked Wolf",1070310,https://open.spotify.com/track/6E90gq0KO6FYZVOXx8kCcC
109,Freaks,"Surf Curse",1070002,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
110,Perfect,"Ed Sheeran",1069995,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
111,"Entre Nosotros","Tiago PZK",1068102,https://open.spotify.com/track/6w8yBI2vthyN9UnwO4UBWb
112,WFM,Realestk,1060764,https://open.spotify.com/track/18ddJHQ7CUzNBiy55L0Xjj
113,"Love Again","Dua Lipa",1049772,https://open.spotify.com/track/4rPkN1FMzQyFNP9cLUGIIB
114,SEJODIOTO,"KAROL G",1046369,https://open.spotify.com/track/704LUEih663hiE3CnyUrFW
115,"Here We Go","Mac Miller",1045102,https://open.spotify.com/track/40dlJFdqfm8CayhmmS9UB7
116,"Save Your Tears","The Weeknd",1038736,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
117,Yellow,Coldplay,1036918,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
118,"Tiroteo - Remix","Marc Seguí",1036324,https://open.spotify.com/track/4OwhwvKESFtuu06dTgct7i
119,"Chosen (feat. Ty Dolla $ign)",Blxst,1032353,https://open.spotify.com/track/1dIWPXMX4kRHj6Dt2DStUQ
120,"I GUESS I'M IN LOVE","Clinton Kane",1030815,https://open.spotify.com/track/1is8gU4RVcN4J8xItxWoOY
121,"Pareja Del Año","Sebastian Yatra",1028245,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
122,"Jugaste y Sufrí","Eslabon Armado",1024155,https://open.spotify.com/track/3NqBxTOMCJ3zW9CIP51td4
123,"Ain't Shit","Doja Cat",1021381,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
124,"Praise God","Kanye West",1016889,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
125,"Una Nota","J Balvin",1008984,https://open.spotify.com/track/7iqOIHHEmu6Vhw25GgQ2eA
126,Believer,"Imagine Dragons",1002603,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
127,"Dance Monkey","Tones And I",999302,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
128,"Before You Go","Lewis Capaldi",982773,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
129,Acapulco,"Jason Derulo",979485,https://open.spotify.com/track/3eJH2nAjvNXdmPfBkALiPZ
130,RAPSTAR,"Polo G",976787,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
131,"I Love You So","The Walters",961728,https://open.spotify.com/track/1175r6ZmkUjX8dRJLz9Ohk
132,"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,961031,https://open.spotify.com/track/30QR0ndUdiiMQMA9g1PGCm
133,Circles,"Post Malone",959094,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
134,"Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)","DJ Patrick Muniz",958640,https://open.spotify.com/track/0DsPj89zlY3Us7xb5cXK5h
135,Shallow,"Lady Gaga",954061,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
136,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",952420,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
137,"Shape of You","Ed Sheeran",950104,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
138,"Smells Like Teen Spirit",Nirvana,950035,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf
139,positions,"Ariana Grande",949347,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
140,"Revoada No Colchão","Zé Felipe",946444,https://open.spotify.com/track/4kGdnA7FzSVsXC29LPghej
